iter	Passed	Remaining
0	61	61181
1	61	30727
2	61	20579
3	62	15506
4	62	12448
5	62	10416
6	63	8956
7	63	7861
8	63	7010
9	63	6333
10	64	5788
11	64	5329
12	64	4930
13	65	4593
14	65	4299
15	65	4042
16	66	3821
17	66	3622
18	66	3443
19	66	3281
20	67	3135
21	67	3003
22	67	2884
23	68	2771
24	68	2668
25	68	2574
26	68	2484
27	69	2401
28	69	2328
29	69	2260
30	70	2196
31	70	2134
32	70	2076
33	71	2022
34	71	1972
35	71	1926
36	72	1880
37	72	1838
38	72	1796
39	73	1756
40	73	1718
41	73	1682
42	74	1647
43	74	1613
44	74	1584
45	74	1553
46	75	1524
47	75	1496
48	75	1470
49	76	1445
50	76	1420
51	76	1397
52	77	1376
53	77	1355
54	77	1333
55	77	1313
56	78	1294
57	78	1276
58	78	1259
59	79	1242
60	79	1225
61	79	1207
62	80	1191
63	80	1176
64	80	1162
65	81	1147
66	81	1133
67	81	1119
68	81	1106
69	82	1092
70	82	1079
71	82	1067
72	83	1055
73	83	1043
74	83	1032
75	83	1020
76	84	1008
77	84	998
78	84	987
79	85	977
80	85	967
81	85	958
82	85	947
83	86	938
84	86	930
85	86	921
86	87	914
87	87	905
88	87	897
89	87	889
90	88	880
91	88	872
92	88	864
93	88	857
94	89	849
95	89	842
96	89	835
97	90	828
98	90	821
99	90	814
100	90	807
101	90	801
102	91	794
103	91	788
104	91	782
105	92	775
106	92	770
107	92	764
108	92	759
109	93	754
110	93	748
111	93	743
112	93	737
113	94	732
114	94	727
115	94	722
116	94	716
117	95	711
118	95	707
119	95	703
120	96	699
121	96	693
122	96	689
123	97	685
124	97	681
125	97	677
126	97	673
127	98	669
128	98	666
129	98	662
130	99	658
131	99	655
132	99	650
133	100	646
134	100	642
135	100	639
136	100	635
137	101	631
138	101	628
139	101	624
140	101	620
141	101	615
142	102	612
143	102	608
144	102	605
145	102	602
146	103	598
147	103	595
148	103	592
149	104	589
150	104	586
151	104	583
152	104	580
153	105	577
154	105	574
155	105	571
156	105	567
157	105	564
158	106	561
159	106	558
160	106	555
161	106	552
162	107	549
163	107	547
164	107	544
165	107	541
